Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Orbiliales_gen_Incertae_sedis,15,1,9,10,1,5,8,16,20,11,10,8,0,5,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Setophaeosphaeria,11,5,3,4,7,12,15,7,12,8,4,7,3,8,3,7,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Naganishia,4,13,6,9,10,7,8,9,3,16,3,4,2,3,1,5,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,4,0,1,0,0,0,4
Tetracladium,2,8,12,14,8,7,13,9,0,5,6,7,3,5,0,9,2,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Minimedusa,12,0,0,20,3,9,14,10,2,17,2,16,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0
Articulospora,2,4,0,2,25,12,2,8,9,7,4,18,0,3,2,4,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mrakia,7,12,6,8,13,4,43,4,0,2,3,1,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Herpotrichiellaceae_gen_Incertae_sedis,11,1,3,10,2,7,17,20,14,9,7,1,3,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exophiala,8,8,4,4,6,5,24,5,8,6,4,13,2,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Myriodontium,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,3,0,0,0,0,1,0,27,0,0,0
Crocicreas,8,39,8,6,6,19,1,0,0,0,2,1,0,0,3,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didymella,4,5,10,14,2,0,3,13,1,1,8,6,7,12,9,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Thelephoraceae_gen_Incertae_sedis,8,5,5,7,4,8,9,14,3,12,1,9,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,2,0,0,1,1,0,0
Phomatospora,6,3,6,14,5,7,4,6,7,8,3,11,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bisifusarium,0,1,1,0,7,14,0,1,0,0,4,55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Vishniacozyma,2,11,3,8,7,7,7,2,2,12,5,5,2,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Enterocarpus,1,3,2,0,0,0,0,1,0,0,3,0,1,0,0,2,1,0,0,1,0,0,1,0,4,0,10,0,0,27,9,0,0,0,3,1,0,0,10,0,2,2
Cystofilobasidium,4,7,7,9,5,3,4,3,1,9,6,11,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Paramyrothecium,3,3,19,10,3,5,3,0,1,3,14,4,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Samsoniella,4,2,2,5,2,8,4,7,4,8,5,8,0,3,1,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
Cyphellophora,0,4,1,3,6,8,2,2,4,1,5,12,0,10,2,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
Lentitheciaceae_gen_Incertae_sedis,2,19,4,0,0,2,3,6,12,0,4,8,0,0,3,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
