"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Trichomeriaceae_gen_Incertae_sedis",0,336,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,334,0,1232,137,0,728,0,0,627,0,0,180,156,180,2023,0,615,0,310,0,601,0,0,0,301
"Plectosphaerella",0,168,0,0,0,0,0,0,153,0,0,236,908,0,174,0,0,167,1337,5751,65967,2934,970,1426,0,4386,7811,141,1079,313,0,2157,64,462,438,775,0,6764,0,2008,270,4960
"Fusicolla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192,958,821,0,0,0,0,0,145,0,0,0,0,0,1080,154,0,0,0,0,0,8787,0,0
"Vandijckella",87,0,0,0,0,0,191,0,0,0,0,0,0,0,58,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysurus",0,168,260,64,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Setophaeosphaeria",0,0,0,0,0,116,0,0,460,0,0,707,0,0,289,0,0,0,0,0,1779,0,0,219,0,0,0,0,0,156,0,539,0,0,0,465,142,0,0,0,0,0
"Stachybotrys",0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0
"Malasseziaceae_gen_Incertae_sedis",0,84,0,0,0,116,0,0,153,0,214,177,0,67,0,77,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lophiotrema",0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptosphaeria",0,0,0,191,0,0,0,0,0,0,0,0,0,0,174,154,0,0,0,0,0,0,0,110,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusariella",0,0,0,0,0,174,0,0,0,0,0,0,0,0,810,0,0,84,0,0,3148,0,0,0,0,0,723,0,0,0,0,0,0,154,0,465,0,0,0,0,0,0
"Herpotrichiellaceae_gen_Incertae_sedis",0,253,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0
"Paraphoma",0,0,0,127,0,0,0,0,384,0,0,0,907,0,0,0,0,167,334,4518,411,0,10433,0,0,0,0,0,360,0,0,0,64,308,0,155,71,0,0,0,0,0
