Genera,Phylum
Thermodesulfobacteriota_genus,Thermodesulfobacteriota
Arthrobacter,Actinomycetota
Phyllobacterium,Pseudomonadota
Solitalea,Bacteroidota
Nitrosospira,Pseudomonadota
Pseudolabrys,Pseudomonadota
Bacteroides,Bacteroidota
Rhodomicrobium,Pseudomonadota
Aurantisolimonas,Bacteroidota
Flavisolibacter,Bacteroidota
Oligoflexus,Bdellovibrionota
Tumebacillus,Bacillota
Pla3_lineage_genus,Planctomycetota
Desertimonas,Actinomycetota
Vermiphilaceae_genus,Dependentiae
Oryzobacter,Actinomycetota
Aggregatilineaceae_genus,Chloroflexota
Verticiella,Pseudomonadota
Rhodoplanes,Pseudomonadota
Aquicella,Pseudomonadota
Sandaracinaceae_genus,Myxococcota
Rhizocola,Actinomycetota
Thermoleophilia_genus,Actinomycetota
CL500-3,Planctomycetota
Daejeonella,Bacteroidota
Acidimicrobiaceae_genus,Actinomycetota
Ohtaekwangia,Bacteroidota
Iamia,Actinomycetota
Armatimonadota_genus,Armatimonadota
Lentzea,Actinomycetota
Devosia,Pseudomonadota
Rhizobium,Pseudomonadota
Chitinophaga,Bacteroidota
Ramlibacter,Pseudomonadota
Herminiimonas,Pseudomonadota
Arenimonas,Pseudomonadota
Candidatus_Solibacter,Acidobacteriota
SZB85,Pseudomonadota
FFCH7168,Chloroflexota
Paenibacillus,Bacillota
Stenotrophobacter,Acidobacteriota
Mycetocola,Actinomycetota
Aeromicrobium,Actinomycetota
Paracoccus,Pseudomonadota
Gemmatimonas,Gemmatimonadota
Caldilineaceae_genus,Chloroflexota
Rhodanobacteraceae_genus,Pseudomonadota
Enteractinococcus,Actinomycetota
Chthonomonadales_genus,Armatimonadota
Ectobacillus,Bacillota
Fictibacillus,Bacillota
Modestobacter,Actinomycetota
Kapabacteriales_genus,Candidatus_Kapabacteria
Metabacillus,Bacillota
Paeniglutamicibacter,Actinomycetota
Promicromonospora,Actinomycetota
Dyadobacter,Bacteroidota
Niastella,Bacteroidota
Elsterales_genus,Pseudomonadota
Subgroup_2_genus,Acidobacteriota
Brucella,Pseudomonadota
OLB17,Acidobacteriota
Caulobacteraceae_genus,Pseudomonadota
Alkalihalophilus,Bacillota
Sphingoaurantiacus,Pseudomonadota
Actinophytocola,Actinomycetota
Clostridioides,Bacillota
Mesobacillus,Bacillota
Bhargavaea,Bacillota
Ellin6055,Pseudomonadota
Subgroup_22_genus,Acidobacteriota
Vampirovibrio,Cyanobacteriota
Crossiella,Actinomycetota
Euzebyaceae_genus,Actinomycetota
Alphaproteobacteria_genus,Pseudomonadota
Neo-b11,Pseudomonadota
Marmoricola,Actinomycetota
Pedosphaeraceae_genus,Verrucomicrobiota
Turicibacter,Bacillota
Schlesneria,Planctomycetota
Ligilactobacillus,Bacillota
Polyangiaceae_genus,Myxococcota
Kofleria,Myxococcota
Lineage_IIa_genus,Elusimicrobiota
Fimbriimonadales_genus,Armatimonadota
Citricoccus,Actinomycetota
JGI_0001001-H03,Acidobacteriota
Subgroup_9_genus,Acidobacteriota
Candidatus_Udaeobacter,Verrucomicrobiota
Facklamia,Bacillota
Pedobacter,Bacteroidota
GAL15_genus,GAL15
S-70_genus,Planctomycetota
Planifilum,Bacillota
Pla4_lineage_genus,Planctomycetota
Rodentibacter,Pseudomonadota
Litorilinea,Chloroflexota
Rhizobacter,Pseudomonadota
Planctomycetes_genus,Planctomycetota
Vallicoccus,Actinomycetota
Subgroup_20_genus,Acidobacteriota
Bauldia,Pseudomonadota
Planococcus,Bacillota
Myxococcaceae_genus,Myxococcota
Frankiales_genus,Actinomycetota
Candidatus_Alysiosphaera,Pseudomonadota
Gottfriedia,Bacillota
Luteitalea,Acidobacteriota
AKIW781_genus,Chloroflexota
Planctomicrobium,Planctomycetota
Rubellimicrobium,Pseudomonadota
Aggregatilineales_genus,Chloroflexota
Tepidisphaerales_genus,Planctomycetota
Blastocatella,Acidobacteriota
Actinomycetospora,Actinomycetota
Pajaroellobacter,Myxococcota
NS11-12_marine_group_genus,Bacteroidota
Parafilimonas,Bacteroidota
Novosphingobium,Pseudomonadota
Bacillaceae_genus,Bacillota
Sulfurifustis,Pseudomonadota
SM1A02,Planctomycetota
Roseomonas,Pseudomonadota
Prevotellaceae_NK3B31_group,Bacteroidota
Loigolactobacillus,Bacillota
Omnitrophales_genus,Verrucomicrobiota
Noviherbaspirillum,Pseudomonadota
Hymenobacter,Bacteroidota
CCM11a_genus,Planctomycetota
Longimicrobiaceae_genus,Gemmatimonadota
Glycomyces,Actinomycetota
Neorhizobium,Pseudomonadota
DS-100_genus,Acidobacteriota
Isosphaeraceae_genus,Planctomycetota
Gilliamella,Pseudomonadota
Bremerella,Planctomycetota
Kroppenstedtia,Bacillota
Saccharimonadales_genus,Patescibacteria
Microtrichales_genus,Actinomycetota
Catellatospora,Actinomycetota
CPla-3_termite_group_genus,Planctomycetota
Aquihabitans,Actinomycetota
Latescibacteraceae_genus,Latescibacterota
OLB14_genus,Chloroflexota
NS9_marine_group_genus,Bacteroidota
Hassallia,Bacteroidota
Candidatus_Entotheonella,Entotheonellaeota
Subgroup_15_genus,Acidobacteriota
Chthonomonas,Armatimonadota
I-8,Planctomycetota
Terrabacter,Actinomycetota
Caulobacter,Pseudomonadota
Micromonospora,Actinomycetota
Anaerostipes,Bacillota
37_13_genus,Bacteroidota
Eel-36e1D6_genus,Myxococcota
Fimbriiglobus,Planctomycetota
Atopostipes,Bacillota
Lachnospiraceae_genus,Bacillota
Pla1_lineage_genus,Planctomycetota
Rhodothermaceae_genus,Rhodothermota
CL500-29_marine_group,Actinomycetota
Abditibacterium,Abditibacteriota
Labrys,Pseudomonadota
RBG-13-54-9_genus,Chloroflexota
Amb-16S-1323_genus,Pseudomonadota
Halocella,Halanaerobiaeota
Ardenticatenaceae_genus,Chloroflexota
Woeseia,Pseudomonadota
Larkinella,Bacteroidota
Sphingopyxis,Pseudomonadota
Muribaculaceae_genus,Bacteroidota
Lineage_IIb_genus,Elusimicrobiota
UASB-TL25_genus,Myxococcota
Ammoniphilus,Bacillota
Bosea,Pseudomonadota
Reyranellaceae_genus,Pseudomonadota
Kibdelosporangium,Actinomycetota
VHS-B3-70_genus,Myxococcota
mle1-7,Pseudomonadota
Amoebophilaceae_genus,Bacteroidota
Ilumatobacteraceae_genus,Actinomycetota
Longimicrobium,Gemmatimonadota
BIyi10,Pseudomonadota
Ruminococcus,Bacillota
Rickettsiellaceae_genus,Pseudomonadota
Longispora,Actinomycetota
Cutibacterium,Actinomycetota
Geodermatophilus,Actinomycetota
Thermoactinomycetaceae_genus,Bacillota
Pseudorhodoferax,Pseudomonadota
Sumerlaea,Sumerlaeota
Lautropia,Pseudomonadota
Zavarzinella,Planctomycetota
Yaniella,Actinomycetota
WX65_genus,Methylomirabilota
Duffyella,Pseudomonadota
Cellvibrio,Pseudomonadota
Ahniella,Pseudomonadota
Cyclobacteriaceae_genus,Bacteroidota
Dactylosporangium,Actinomycetota
Sporichthyaceae_genus,Actinomycetota
Sorangium,Myxococcota
Limibaculum,Pseudomonadota
Gimesiaceae_genus,Planctomycetota
Rubinisphaeraceae_genus,Planctomycetota
Panacibacter,Bacteroidota
YC-ZSS-LKJ147,Gemmatimonadota
Nonomuraea,Actinomycetota
Edaphobaculum,Bacteroidota
Aerococcus,Bacillota
Herpetosiphon,Chloroflexota
Cohnella,Bacillota
Candidatus_Chloroploca,Chloroflexota
Nitrolancea,Chloroflexota
Segetibacter,Bacteroidota
Roseobacter_clade_CHAB-I-5_lineage,Pseudomonadota
Pseudoxanthomonas,Pseudomonadota
Cellulosimicrobium,Actinomycetota
Actinocorallia,Actinomycetota
Oleiharenicola,Verrucomicrobiota
Armatimonadaceae_genus,Armatimonadota
Amaricoccus,Pseudomonadota
Psychroglaciecola,Pseudomonadota
Thermobifida,Actinomycetota
Luteimonas,Pseudomonadota
mle1-27_genus,Myxococcota
Schnuerera,Bacillota
PB19_genus,Thermodesulfobacteriota
Aureimonas,Pseudomonadota
Erysipelotrichaceae_genus,Bacillota
Cystobacter,Myxococcota
Geminicoccus,Pseudomonadota
Chryseotalea,Bacteroidota
Bacillus,Bacillota
TM7a,Patescibacteria
Streptococcus,Bacillota
Flaviaestuariibacter,Bacteroidota
Baekduia,Actinomycetota
Planctopirus,Planctomycetota
Fluviicola,Bacteroidota
Rhizorhapis,Pseudomonadota
Prevotellaceae_UCG-001,Bacteroidota
0319-6G20_genus,Bdellovibrionota
Rhodocytophaga,Bacteroidota
Jeongeupia,Pseudomonadota
Delftia,Pseudomonadota
Antribacter,Actinomycetota
Agrobacterium,Pseudomonadota
OLB13,Chloroflexota
UCG-008,Bacillota
Mucispirillum,Deferribacterota
Myxococcus,Myxococcota
Pseudorhodoplanes,Pseudomonadota
Chitinophagales_genus,Bacteroidota
Sericytochromatia_genus,Cyanobacteriota
Actinoplanes,Actinomycetota
FFCH5858,Pseudomonadota
Alkalicoccobacillus,Bacillota
Ileibacterium,Bacillota
Sandaracinus,Myxococcota
Vulgatibacter,Myxococcota
Alterococcus,Verrucomicrobiota
Limnobacter,Pseudomonadota
Nocardia,Actinomycetota
Faecalibaculum,Bacillota
Flindersiella,Actinomycetota
Dinghuibacter,Bacteroidota
YM_S32_TM7_50_20_genus,Patescibacteria
Thermus,Deinococcota
[Eubacterium]_siraeum_group,Bacillota
B1-7BS_genus,Pseudomonadota
Williamsia,Actinomycetota
Leptospirillum,Nitrospirota
Actinomadura,Actinomycetota
Allobaculum,Bacillota
Candidatus_Ovatusbacter,Pseudomonadota
Leucobacter,Actinomycetota
Latilactobacillus,Bacillota
Enhygromyxa,Myxococcota
Oerskovia,Actinomycetota
Blfdi19_genus,Myxococcota
Alistipes,Bacteroidota
Sporocytophaga,Bacteroidota
Patescibacteria_genus,Patescibacteria
Constrictibacter,Pseudomonadota
Chloronema,Chloroflexota
Ellin517,Verrucomicrobiota
Candidatus_Omnitrophus,Verrucomicrobiota
P3OB-42,Myxococcota
Micropepsaceae_genus,Pseudomonadota
WY65,Acidobacteriota
Agrococcus,Actinomycetota
Terriglobales_genus,Acidobacteriota
MVP-88_genus,Elusimicrobiota
Kaistia,Pseudomonadota
Kocuria,Actinomycetota
Anoxybacillus,Bacillota
Chthoniobacter,Verrucomicrobiota
Caldovatus,Pseudomonadota
Thermoactinomyces,Bacillota
OM27_clade,Bdellovibrionota
Azospirillaceae_genus,Pseudomonadota
Roseicella,Pseudomonadota
Rhodospirillaceae_genus,Pseudomonadota
Tellurirhabdus,Bacteroidota
Georgenia,Actinomycetota
Comamonas,Pseudomonadota
Candidatus_Berkiella,Pseudomonadota
AT-s3-28_genus,Acidobacteriota
Dubosiella,Bacillota
CSP1-2,Dadabacteria
Legionella,Pseudomonadota
Ketobacter,Pseudomonadota
Ilyomonas,Bacteroidota
vadinHA49_genus,Planctomycetota
Candidatus_Nitrosoarchaeum,SAR324_clade(Marine_group_B)
Chloroplast_genus,Cyanobacteriota
Intestinimonas,Bacillota
Lachnospiraceae_NK4A136_group,Bacillota
Eremiobacteria_genus,Candidatus_Eremiobacterota
Enterovirga,Pseudomonadota
Candidatus_Woesebacteria_genus,Patescibacteria
Lacibacter,Bacteroidota
[Eubacterium]_xylanophilum_group,Bacillota
KI89A_clade_genus,Pseudomonadota
Pigmentiphaga,Pseudomonadota
Pontibacter,Bacteroidota
Phaeodactylibacter,Bacteroidota
Subgroup_13_genus,Acidobacteriota
Oscillospiraceae_genus,Bacillota
Limosilactobacillus,Bacillota
Subgroup_21_genus,Acidobacteriota
Starkeya,Pseudomonadota
Thomasclavelia,Bacillota
Pantoea,Pseudomonadota
UCG-005,Bacillota
Amycolatopsis,Actinomycetota
Vampirovibrionales_genus,Cyanobacteriota
KD3-93_genus,Bacteroidota
Listeria,Bacillota
Clostridia_vadinBB60_group_genus,Bacillota
Akkermansia,Verrucomicrobiota
Methylobacterium,Pseudomonadota
Isosphaera,Planctomycetota
Conexibacter,Actinomycetota
Cyanobacteriales_genus,Cyanobacteriota
Tautonia,Planctomycetota
Hyphomicrobiales_Incertae_Sedis_genus,Pseudomonadota
Novibacillus,Bacillota
Pedococcus-Phycicoccus,Actinomycetota
Acidiferrobacteraceae_genus,Pseudomonadota
Subgroup_12_genus,Acidobacteriota
Lactococcus,Bacillota
Burkholderiales_genus,Pseudomonadota
Haloactinopolyspora,Actinomycetota
Kineosporia,Actinomycetota
Ferdinandcohnia,Bacillota
Spirosoma,Bacteroidota
CCM19a_genus,Pseudomonadota
Ureibacillus,Bacillota
Silvanigrellaceae_genus,Bdellovibrionota
Parabacteroides,Bacteroidota
Methyloversatilis,Pseudomonadota
Candidatus_Jidaibacter,Pseudomonadota
Thermobacillus,Bacillota
RCP2-54_genus,RCP2-54
27F-1492R_genus,Myxococcota
