"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"ASV44",0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,1086,1003,24372,18887,367,189850,0,120,9713,21842,1551,35072,2347,0,208854,0,10154,1607,620,0,0,6733,10795,3243,4359
"ASV67",0,505,0,0,0,0,0,0,0,0,0,0,1815,0,0,77,258,0,5850,59562,352965,0,0,0,0,0,7666,16635,0,313,302,0,0,3385,0,620,0,38026,0,753,1216,42685
"ASV29",0,0,0,0,0,116,0,0,0,85,71,0,908,0,0,0,0,0,24735,52853,114827,7579,163162,2413,60,27885,30521,21006,6115,3286,60,1888,0,5385,292,775,0,3156,0,3138,7027,5862
"ASV68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,4345,27248,2327,733,0,14698,901,0,1880,239098,29317,12207,60,0,127,31231,2483,4031,0,33216,9395,2385,9189,36222
"ASV15",174,6397,606,2608,268,3256,7704,5877,3760,2114,2426,29682,138275,3330,20189,77,2389,1337,26240,73528,61588,611,12131,37404,0,313,579,0,3777,156,0,674,0,0,2483,155,0,1954,0,0,541,3006
"ASV37",0,0,0,0,0,0,0,0,614,423,0,0,151,0,0,0,1421,0,501,100365,330109,611,0,0,420,0,1013,282,3777,0,121,0,0,462,0,0,0,0,0,126,1486,0
"ASV65",0,0,0,0,0,0,0,0,0,169,0,0,1059,0,58,0,65,167,79889,12871,9033,9535,4974,658,240,2037,44407,25094,80396,6260,60,0,0,6923,1753,2171,853,45090,0,43808,8784,49599
"ASV54",0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,129,84,34763,36148,24361,733,20016,7898,841,0,10559,15930,18705,40845,121,0,0,15846,12707,8992,0,55762,22860,37155,7973,56212
"ASV14",174,4714,606,2226,67,1802,1655,784,2148,6342,5495,9894,41755,5928,13074,1310,2002,1003,25070,88453,58440,6846,25960,7349,420,5326,2893,1974,12230,1408,0,10787,64,2308,584,3101,427,5110,470,502,1757,5862
"ASV257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,564,0,0,0,347596,0,5385,0,0,0,0,0,0,0,0
"ASV17",0,0,0,6489,0,0,0,0,230,3382,856,883,10287,0,289,77,0,501,25404,33136,21214,3545,191549,14589,0,0,723,0,4137,782,181,3775,826,4154,584,2171,0,9168,0,1130,541,11723
"ASV155",0,0,0,0,0,0,0,0,0,0,0,0,4690,0,0,0,452,0,8357,41762,42701,3301,114517,0,0,0,10270,5357,29317,4069,121,65663,0,1846,0,0,0,0,2975,3264,676,0
"ASV27",0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,2066,167,0,0,0,0,0,0,0,5170,111813,2961,3417,313,0,19955,0,0,0,0,1280,16984,49635,3013,61081,24950
"ASV91",0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,4513,81743,6843,4034,1941,219,721,42611,11138,45536,16906,5947,0,10247,0,3846,146,4496,0,25100,470,1506,1757,26603
"ASV47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,564,360,156,362,1483,64,26615,438,4496,152205,19088,23956,8787,18919,22695
"ASV328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,257710,0,0,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,188899,0,2615,0,155,0,0,61534,0,0,0
"ASV107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,219361,20144,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8249,768,120,0,0,0,0,469,0,199820,0,10462,0,0,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11198,36011,16013,856,14921,10640,1561,1097,44118,0,0,13302,0,0,0,9846,2629,8372,0,6613,0,20586,9324,7966
"ASV407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,205863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757,0,0
"ASV233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43248,0,0,0,0,145849,868,0,0,0,0,0,0,1692,0,0,0,0,2975,0,0,0
"ASV435",0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,167,4382,1916,0,118641,439,60,0,2604,0,540,313,0,0,0,0,0,0,0,12625,0,377,0,15180
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,1337,56413,14370,6724,27052,878,120,17076,2604,282,4496,1565,483,7955,0,2769,0,1240,71,752,0,7280,0,601
"ASV137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,480,0,2748,1269,0,313,0,0,0,76769,0,620,142,9770,43841,1004,4189,8717
"ASV141",0,0,0,0,0,0,0,0,0,0,0,0,1210,0,58,0,0,0,3175,6435,0,733,0,1426,120,0,9402,1974,20324,5634,1086,0,64,1846,438,1085,0,38778,0,2887,3514,42535
"ASV51",87,0,0,0,0,0,0,65,153,0,0,11249,19667,0,578,0,517,0,10696,17252,9170,2567,16013,10311,0,0,0,282,2338,0,1629,0,0,2615,0,620,0,21643,0,0,0,14128
