#OTU ID,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV4,174,0,0,0,134,116,0,0,0,0,214,118,832,733,0,0,1937,1420,3760,103309,27988,734,3518,59342,8226,8851,0,228242,424101,580908,17881678,54541820,34603050,2273616,463656,33616202,28589189,145800376,30991597,51246716,25861284,172901829
ASV2,946,0,0,0,384,0,0,0,0,918,11132,9457,15345,0,0,0,39850,13084,0,75699,16619,7789,4502166,20066263,34061272,2730,15291,194710,44729496,17203398,2987829,21437278,26147795,45657319,354625,12662857,16051981,22258403,32163570,23443933,20058378,25419009
ASV19,0,0,0,0,0,0,0,5694,0,0,285,0,0,0,0,0,0,0,0,346582291,0,0,16353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1,371,0,0,735,0,0,503,516,0,12285,33490,4833,958114,2551,66745,562,7968,4318,7010,0,7488,17469549,12201183,11234976,3504834,33527137,3786964,22527981,7931053,4459190,2997491,2254349,8150686,29227122,23009178,11837563,31968939,24379032,19440149,9977744,11690298,26636373
ASV10,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7739,0,282284,503678,8274558,22062876,27402796,1922769,0,19866899,13117141,66740230,12062317,31670335,12059797,76825776
ASV9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,611,0,0,0,444,0,0,0,0,6791,0,30281,3853555,61865826,0,0,18168,0,405955,44489650,46663049,532554,53093,51647380
ASV52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185106600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24390,0,0,0,0,0,0,0,0,0,0,0,34360175,14366555,1196414,9150048,16881321,39331297,0,6535770,6833327,9640753,12488876,12736892,11278726,10099556
ASV11,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,55661,0,0,208091,0,0,17146,94486,5804,0,181491,0,72440358,0,847005,92370698,0,324760,0,3406470,477978,2893401,0,4274574,115255,2893401
ASV18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142573,0,0,0,0,0,2579,0,0,0,36738,2562227,40791642,18672,10976,0,0,275301,29324930,28178688,427442,39414,32891270
ASV60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,11024,0,6814,0,0,371583,58764,15145,0,0,150923,17819,29147,0,55832690,171451,191674,107094,66371844
ASV116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341187,60720,0,0,111436,148000,0,29147,0,34793387,0,150000,58446,38066633
ASV12,569,508,0,2142,1147,2162,0,0,9600,1487,932,2131,0,5690,13459,0,0,4493,1628939,1905477,687608,12593,0,0,0,4976685,2545914,39829316,44467,0,0,0,0,0,219598,0,0,8138929,0,20216,24752,8686166
ASV172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279248,21906814,366040,129205,58018,24733467
ASV16,0,137,0,0,0,189,0,0,2869,0,0,120,0,0,33745,0,0,3567,0,0,22573048,497,0,0,0,5619818,9737723,6304,0,5994663,342920,0,10563,132614,4304,10084,0,6843,0,0,3983,0
ASV82,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,17582,0,0,0,0,0,0,0,0,0,0,0,27299218,925438,1401978,0,0,3564,0,0,0,0,0,0,0
