"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Solirubrobacter",0,0,0,7125,0,465,0,0,3683,0,285,2827,0,6394,3008,0,0,0,0,32314,53376,3423,0,0,0,0,0,0,23381,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colidextribacter",0,0,0,85,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,2103,0,0,119373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lysobacter",0,0,0,363,1150,0,0,1368,731,0,0,0,0,0,0,0,0,0,0,0,0,0,4159,0,0,8206,0,0,0,0,0,0,0,21539,0,0,0,0,0,0,0,0
"Ilumatobacter",0,0,0,636,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,2184,0,0,3760,0,0,0,0,0,0,0,11231,0,0,0,0,0,0,0,0
"Vermiphilaceae_genus",0,0,0,348,0,0,0,0,841,0,0,0,0,1338,0,0,0,0,0,0,14874,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11_24_genus",0,0,0,494,521,902,0,0,3119,0,0,0,1469,0,0,0,0,0,0,0,0,0,1884,0,0,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dyadobacter",0,0,0,509,460,0,0,821,175,0,489,337,0,0,0,0,0,0,382,0,5787,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobium",864,0,0,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter",0,0,0,0,0,127,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,2867,0,0,4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reyranella",320,412,0,233,0,0,0,0,469,0,0,0,0,570,0,0,0,0,0,0,3683,598,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Legionella",0,326,0,328,0,0,0,740,1386,655,92,0,0,0,0,0,0,0,755,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBG-13-54-9_genus",0,0,0,1250,0,0,0,1551,421,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesorhizobium",0,0,0,549,725,0,0,847,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia",0,0,0,222,312,0,0,304,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
