,(5'->5')-dinucleotides,5'-deoxyribonucleosides,Anthracenes,Azetidines,Azoles,Azolidines,Azolines,Benzene and substituted derivatives,Benzimidazoles,Benzophenanthridine alkaloids,Benzopyrans,Benzothiazoles,Benzoxepines,Biotin and derivatives,Carboximidic acids and derivatives,Carboxylic acids and derivatives,Cinchona alkaloids,Cinnamaldehydes,Cinnamic acids and derivatives,Coumarins and derivatives,Diarylheptanoids,Diazanaphthalenes,Diazines,Dihydrofurans,Dithiolanes,Endocannabinoids,Fatty Acyls,Flavin nucleotides,Flavonoids,Fluorenes,Furans,Glycerolipids,Glycerophospholipids,Hydroxy acids and derivatives,Imidazopyrimidines,Indanes,Indoles and derivatives,Isobenzofurans,Isocoumarans,Isoflavonoids,Isoquinolines and derivatives,Keto acids and derivatives,Lactams,Lactones,"Linear 1,3-diarylpropanoids",Macrolactams,Macrolides and analogues,Morphinans,Naphthalenes,Naphthofurans,Nucleoside and nucleotide analogues,Organic carbonic acids and derivatives,Organic oxoanionic compounds,Organic phosphonic acids and derivatives,Organic phosphoric acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfuric acids and derivatives,Organonitrogen compounds,Organooxygen compounds,Oxazinanes,Oxepanes,Peptidomimetics,Phenanthrenes and derivatives,Phenol esters,Phenol ethers,Phenols,Phenylpropanoic acids,Plumeran-type alkaloids,Prenol lipids,Pteridines and derivatives,Purine nucleosides,Purine nucleotides,Pyrans,Pyridines and derivatives,Pyrimidine nucleosides,Pyrimidine nucleotides,Pyrrolidines,Quinolines and derivatives,Sphingolipids,Steroids and steroid derivatives,Stilbenes,Sulfamic acid derivatives,Tetracyclines,Tetrahydroisoquinolines,Tetrapyrroles and derivatives,Thienopyridines,Triazines,Tropane alkaloids,Yohimbine alkaloids
MS03_5,0.045432713,0.06182073,-0.066134985,0.66026169,-1.509636381,-0.012180209,-0.867182879,-1.800828183,0.033375779,0.071070845,-0.055916969,0.359305259,-0.025113006,-0.054082793,-3.14571377,4.932093728,0.10234349,-0.024897914,2.173391832,1.889715019,-0.211621011,0.001078121,-2.055345258,-0.11601271,-0.206476135,-0.157440319,-5.034229246,0.033493523,0.138920941,-0.056887309,-0.026528356,-1.115334685,1.394407907,-0.670417886,3.198064961,0.074127211,-1.645720145,-0.084945213,0.360290745,0.065545926,-0.474735097,-0.67274261,-0.240172768,-0.235376932,-0.26910631,0.230029722,-0.029699557,-0.253758412,0.156418118,-0.099340202,0.503778294,0.533254978,-0.052892502,0.067333971,-0.01471806,1.525312169,-0.202892123,1.761787872,-3.731477892,0.064666115,-0.117590535,1.595619238,0.184584221,-0.044774999,-0.05298854,-0.394540458,-0.489572465,0.078247806,1.331493536,0.190848364,1.38972001,0.561974765,0.030387378,1.507210169,0.845385271,0.265406224,-0.006171715,-0.94797945,-0.519976926,3.458916278,-0.037415944,-0.019248675,-0.115643441,-0.070065314,-0.130336528,-0.019382894,1.50574383,-0.170156963,-0.016100754
MS03_6,0.014940545,-0.002232821,0.143651345,0.511244626,-1.604271864,0.032317007,-0.807213016,-2.905588436,-0.007118863,0.105287645,-0.057518815,0.623154548,-0.023276755,-0.013114631,-0.953000904,2.371055673,-0.026276952,-0.075350918,1.208343941,0.924434952,-0.208131858,0.049619775,0.292323653,-0.015663263,-0.196748567,-0.155209626,-6.592698388,0.024245023,0.389852988,-0.068498957,-0.069753999,-0.758106652,2.023741404,-0.857047893,7.42555871,0.045635688,-1.636665748,-0.038182757,0.083152027,1.102543824,-0.408196607,-0.625383752,-0.221142481,1.14239114,-0.176849173,0.440853754,-0.031984243,-0.297220872,-0.004941292,-0.065619867,0.220513126,0.186401292,-0.055112929,0.028635553,-0.00871026,1.943160414,-0.004476859,2.022429655,-4.497720817,0.07370261,0.492964327,2.433393266,-0.064830226,-0.043339321,0.005574376,-0.920566629,-0.461925638,-0.03357653,-0.575995147,0.055472329,1.38150323,0.262562584,0.154557006,2.593306185,0.127315249,0.707617346,-0.021581481,-0.967376533,-0.526637009,6.181766823,-0.102055403,-0.027395453,-0.114923306,-0.058614949,-0.176465648,0.012393272,2.921923538,-0.128023017,-0.017527522
MS07_1,-0.037186545,-0.011683324,0.430122485,0.103254528,-0.417424636,-0.029857642,-0.820517104,-0.294791404,-0.003281128,0.028930017,-0.059499683,0.195244941,-0.020349617,-0.018199477,-1.946163649,5.029945224,0.161737796,0.434945594,0.224505423,-0.248532508,-0.183201849,-0.343837413,3.738743295,0.596422489,-0.126928468,-0.044351236,-8.593331648,0.018955903,-0.177959356,-0.057045821,-0.167970333,-1.233123726,0.909470326,1.851466091,0.154714577,0.023688967,0.714633914,0.020305315,0.256518062,-0.517122326,-0.479923718,-0.581466679,-0.233926615,0.348750442,-0.225209576,-0.280964119,-0.021846194,-0.242607413,0.267192977,-0.125431267,0.275414211,-0.201635205,-0.058974023,0.018636901,-0.00273843,0.444741527,-0.131861945,-0.271811074,5.800510287,0.047388344,0.201722004,0.103544103,0.066008507,-0.04483724,0.103987411,0.740058424,-0.384330306,0.045440467,-0.812341132,0.014692078,-0.753779272,-0.269762899,-0.034551493,-0.352457106,0.012127384,-0.217099352,0.016012269,-0.811167255,-0.53190329,0.143607365,-0.012669818,-0.021279523,-0.126667562,-0.069195207,-0.003790491,0.008731057,0.781717683,-0.090834071,0.05892936
MS07_2,-0.080335468,0.063912263,0.052989628,0.164977644,-0.485944566,0.002235606,-0.853715827,-1.051675544,0.001506996,0.054319209,-0.06065545,0.720425335,-0.018025995,-0.018695262,-2.350015671,6.499568652,-0.028995074,0.356741454,1.978370981,0.785118162,-0.203797506,0.285977636,-2.172227957,-0.003191078,0.023715427,-0.073164687,-9.963983254,0.039460493,-0.081889794,-0.068854732,-0.1521493,-0.646324347,1.542993519,0.917083304,0.016714502,0.191346887,0.835153535,-0.03876112,0.307037488,0.090509585,-0.371385217,-0.642220368,-0.239760909,0.409921117,-0.154474301,-0.244449754,-0.026564506,-0.115562258,0.075418938,-0.094361144,0.487959937,0.046519876,-0.077954805,0.022828426,-0.019441204,0.981493986,-0.350709697,3.257080851,-0.848162589,0.107974291,0.160260251,0.790019494,0.053459625,-0.044089987,0.014315973,0.324433887,-0.312074592,0.014732039,-0.246148184,0.013390816,0.215545748,0.175375114,0.086638134,-0.055482406,0.520284416,0.129326561,0.005899347,-0.574767891,-0.534147619,10.25203172,0.358192126,-0.013559095,-0.113849368,-0.072036215,-0.094500532,0.115425603,0.784681061,-0.186944397,-0.002191469
MS07_3,-0.085319666,0.034903099,-0.045875396,0.401455749,-0.100131214,0.014667865,-0.851309394,-2.322468968,0.00398796,0.239409135,-0.060542641,0.21918445,-0.013034318,-0.006158112,-2.533136685,10.72589602,0.125448848,0.196372584,1.01724898,0.641599393,-0.203731331,0.155302791,4.941990746,0.674850388,-0.071866444,-0.10825747,-14.23355499,0.043915051,-0.188089606,-0.054832206,-0.005480784,-0.740823597,0.582119364,0.815035198,-0.859788549,0.108299283,2.391783064,0.06233939,0.306754547,0.605620558,-0.334554435,-0.541661184,-0.234651118,0.611063475,-0.209918664,-0.273276614,-0.024868122,-0.273367737,0.164915277,-0.089501687,0.135673965,0.65156349,-0.065829178,0.013945682,-0.011231664,0.099862206,-0.331696233,4.769988134,-1.201479932,0.105335995,0.219178395,-0.044950948,0.224508621,-0.04412397,0.101653933,1.509282352,-0.212875448,0.191351155,-0.701007296,0.155351389,-0.399226534,0.21803985,-0.019083306,1.712438712,2.081329366,0.275137192,-0.02115423,-0.680136729,-0.519475866,6.489327384,0.541343229,-0.01518064,-0.123342368,-0.0650383,-0.07056155,0.024408469,0.38037269,-0.030136651,0.091986164
MS07_4,-0.084355305,0.103938578,-0.077138638,0.430000885,-0.978726439,0.001658949,-0.802080729,-1.182249864,0.000194549,0.09905578,-0.05925081,-0.341366334,-0.025918992,-0.057657923,-1.721974147,9.317416265,0.067278764,1.390405963,1.182858497,1.203818809,-0.208887971,0.190997536,2.9797033,0.455900632,-0.182202118,-0.18119335,-11.09150086,-0.00232333,-0.149879415,-0.045350996,-0.054880179,-0.712865359,-0.239975967,-0.809078834,-2.436521983,0.021512554,1.133400548,-0.041207043,-0.061050709,0.809523876,-0.423074245,-0.607474914,-0.24073018,-0.122134827,-0.239810791,0.166939847,-0.02395685,-0.285901159,0.128225817,-0.095675225,0.518919665,0.773268363,-0.063629465,-0.008184427,-0.006137018,-0.290702527,-0.224364996,1.59416486,1.985674826,0.001355719,0.233793069,0.139854012,0.484244592,-0.044467793,0.091821664,1.523503054,-0.182067358,0.049707052,-0.473657459,0.165313423,-0.582083481,0.818576134,-0.059197763,0.631273292,1.124115786,0.679792725,0.394612696,-0.920870069,-0.526404929,4.93627346,0.13500904,-0.015890135,-0.126760362,-0.068775779,-0.021471199,-0.02834115,0.564411437,-0.118474961,0.126253839
MS07_5,0.122831841,0.073569122,-0.084796618,0.160686341,-0.798235896,-0.029281166,-0.800762859,-2.33804145,-0.011615428,0.185213934,-0.059682707,0.789114556,-0.028498625,-0.019821588,-1.017230142,8.462244923,-0.000519604,-0.099328249,1.254854218,0.7233484,-0.156958748,0.809311403,-0.490645869,-0.106390453,0.158385355,-0.193227336,-9.007622846,0.131693108,-0.054104964,-0.068767799,-0.068827239,-0.642525882,0.965209384,0.572145341,4.290822863,-0.063503925,0.633767957,-0.116242239,0.929937967,-0.553477789,-0.442817933,-0.523008642,-0.248773002,1.264534577,-0.19714688,-0.267722724,-0.031043589,-0.238823273,0.004873863,-0.098266042,0.331420953,0.055512929,-0.047881779,0.045086763,-0.0074995,1.317086419,-0.15685923,1.788825073,-1.916807312,-0.01309252,0.278670129,1.959463017,-0.075454669,-0.04488789,-0.146498751,0.274582108,-0.259742699,-0.031954891,-0.883658013,0.018468254,1.750824077,0.098152678,0.112736909,1.411102011,0.125132273,-0.059789334,-0.023881281,-0.852874133,-0.516079144,-2.242676491,-0.1400159,-0.022785912,-0.119658734,-0.055947153,-0.180447452,0.307757826,1.424837702,-0.071076502,-0.016496033
MS07_6,-0.001505754,0.159389872,-0.078701176,0.147568217,-0.400829039,-0.029717212,-0.792848256,-1.479056304,-0.011497979,0.129375355,-0.058172293,0.333442241,-0.02542385,-0.029271806,-1.590270606,3.769192574,0.045820251,-0.110981958,1.180846619,0.756534877,-0.174323405,0.483972813,0.056783138,-0.181003697,-0.061505757,-0.165186442,-7.687846691,0.097094736,-0.014145105,-0.068874015,-0.114953641,-0.673449897,1.531526105,1.02894935,1.133615317,0.017265962,2.786396462,-0.082271263,0.951914577,-0.321960808,-0.347283645,-0.572882214,-0.229728647,0.499084843,-0.188649083,-0.193353095,-0.027291134,-0.224219833,0.09646943,-0.117749286,0.574069111,-0.388536989,-0.048871683,0.048187052,-0.011908821,1.60240214,-0.191113265,1.779597298,0.701371743,-0.007038343,0.221199416,0.745796831,-0.03978931,-0.04489194,-0.08879116,0.770651937,-0.366759165,-0.020586876,-0.604996429,0.058068153,0.982978747,-0.085001682,0.104364007,1.635580722,0.653891836,-0.129080583,-0.016298844,-0.708274772,-0.529101843,2.694104407,-0.098695427,-0.026797614,-0.122108304,-0.061291303,-0.173792307,0.19488924,1.400925369,-0.028004236,-0.015858054
MS14_1,-0.0852991,-0.036108337,-0.084838246,0.158769219,0.315612927,-0.028484408,-0.704294742,0.463268427,-0.011973567,0.03267069,-0.060016359,0.111016024,-0.022078266,0.530451961,-2.862588552,4.375120514,-0.013213694,-0.146070607,0.279318254,-0.260074756,-0.133504902,-0.042724256,0.467694474,-0.023061033,0.19943108,-0.094895523,-9.378208361,-0.004299694,-0.134327164,-0.07814149,-0.104998064,-1.341888645,0.655201879,3.813516877,-1.996838284,0.175455918,8.217566021,-0.08345324,0.094984531,-0.460649317,-0.179363484,-0.194315423,-0.212310217,0.039795327,-0.220063229,-0.258928704,-0.021134708,-0.257752014,0.041055234,-0.091628356,0.025915189,0.232784918,-0.067371072,0.008378811,-0.021586074,0.193299594,-0.39694168,0.221799252,8.418569868,0.174850596,-0.03025239,-0.507516136,-0.119130124,-0.044750041,-0.144064639,1.712589002,-0.495201173,-0.029396539,1.290811551,0.064790332,-0.855709377,-0.292195322,-0.016537147,0.11149113,-0.09484863,-0.302867099,-0.020163935,1.841645331,-0.516984159,2.981567526,-0.069906119,0.004351845,-0.127386865,-0.04386164,-0.084790841,0.0341467,-0.238248272,-0.112874379,-0.012788049
MS14_2,-0.087698307,0.040417802,-0.038157189,-0.125832722,-1.0162683,-0.011126995,-0.525890185,-3.180519673,-0.009966915,-0.044953638,-0.059072368,-0.060777839,-0.027824771,0.168126774,-2.110058546,0.231489092,-0.026311712,-0.052540156,-0.523657528,-0.635613051,-0.207092744,-0.021496158,-0.789043457,-0.144227557,-0.160108613,-0.113235291,-8.995859446,-0.015701994,-0.100195078,-0.081408384,0.138909363,-1.501496709,-0.463253051,2.231369823,-2.582585983,0.020434412,2.842274494,-0.115995226,-0.178958684,-0.16640336,-0.007237577,0.940355481,-0.186021585,24.62428206,-0.263380982,-0.280063993,-0.011536725,-0.267574818,-0.020932937,-0.128150956,-0.010916172,0.058660292,-0.07879553,0.007961709,-0.022449611,-0.265717205,-0.3601434,0.931545346,6.093093414,-0.004868404,-0.137866886,-0.504195334,-0.090793103,-0.045853403,-0.161106113,1.895087188,-0.432237967,-0.032071491,-0.77233166,-0.060580774,-0.742525175,0.77581668,-0.077498227,-1.22517241,-0.294242973,-0.221706641,-0.024482724,-0.609121488,-0.530316464,-1.734378481,-0.063165097,0.001148058,-0.125644032,-0.025298196,0.045494393,-0.020626951,-0.522409491,-0.153117309,-0.014037805
MS14_3,-0.086994691,-0.029951093,-0.073567903,-0.172638626,1.096895265,-0.028324449,0.006242113,0.834017011,-0.008178479,-0.138235435,-0.057138171,0.018553097,-0.020050913,0.232052393,-2.7623661,3.328666791,-0.023647759,-0.054516566,-0.25149236,-0.506748198,1.198903143,-0.115141015,-3.430854577,0.008622428,0.029955916,-0.079145977,-5.409762649,-0.037516792,-0.205713154,-0.067487115,0.341362241,-1.027956115,1.222017486,2.61360221,-2.875011321,0.024614253,3.527930876,-0.094501926,-0.212247048,-0.441553568,0.017504385,0.560753211,-0.203463162,-1.99489954,-0.026548492,-0.259338756,-0.00806653,-0.166349919,-0.029220878,-0.113795666,-0.213728783,-0.149191578,-0.059495486,-0.011268067,-0.018194482,-0.112332527,-0.390398919,-3.124007266,8.347093892,0.044241717,-0.153544535,-0.459386256,-0.035477443,-0.044902086,0.089248866,2.984532315,-0.407407674,-0.029507835,-0.613796069,-0.140364423,-1.03062928,-0.291350998,-0.096927868,-1.154846892,-0.289748142,-0.328085471,-0.022936774,0.621507974,-0.515179367,1.39714122,0.121950001,0.011413432,-0.100109113,-0.022300172,0.393666384,-0.006742341,-1.041158621,-0.038979901,-0.013731742
MS14_4,-0.084439142,-0.039710327,-0.079929898,0.080815591,2.028205537,-0.022032442,-0.550211258,1.890375388,-0.009320144,-0.120054014,-0.055105433,0.119361576,-0.022250942,0.105474953,-3.342712417,7.681039542,-0.005963213,-0.014269666,-0.524838889,-1.128942451,-0.194919153,-0.129150474,0.181798161,-0.14407185,-0.008168675,-0.227099429,-13.0713049,-0.039085513,-0.072134698,-0.081141643,-0.108670949,-1.109424586,0.631683518,3.649602476,-1.827137915,0.117533169,5.194322166,-0.056675771,-0.158892203,-0.445768521,-0.156263129,-0.344540989,-0.124245924,-0.669400583,-0.042596885,-0.274195946,-0.013210002,-0.263969863,-0.000675552,-0.057383401,0.083136521,-0.253211835,-0.05852201,-0.008172146,-0.017774585,-0.547119163,-0.33720851,-3.775381742,15.060391,0.125654074,-0.17686894,0.045307778,-0.112503143,-0.044622894,-0.034903652,2.468274252,-0.293571372,-0.02876827,-0.665674902,-0.070746827,-0.930014641,-0.282184995,-0.054357366,-0.282371488,-0.185505374,-0.325523113,-0.024108224,-0.325954439,-0.520758563,2.96597188,-0.018602734,0.019324729,-0.107442842,-0.030199453,0.01051035,0.033015427,0.060507033,0.013236427,-0.010473728
MS14_5,-0.089566187,0.061524497,-0.084997649,0.096267408,-0.069466067,-0.026592382,-0.73983013,-1.166976442,-0.017553598,0.049696435,-0.046479374,-0.352138078,-0.027906083,-0.032124319,1.564789973,-2.88948175,-0.064533378,-0.010402457,0.042858946,-0.160235513,0.080691707,-0.295056928,7.345355196,0.969600388,-0.011443919,0.003085468,1.031719815,-0.03098067,-0.249777499,-0.076086414,-0.027492025,-0.697346743,-0.458440285,-0.153284278,0.824514378,-0.090245353,2.131628181,-0.101081762,-0.081310581,-0.504911471,0.456160392,-0.643667473,-0.190659232,0.386665363,-0.018862674,-0.291342145,-0.025484901,-0.311469715,-0.046861868,-0.015444412,0.191198236,-0.331655726,-0.054492344,0.007550017,-0.017165178,-0.810805552,-0.056178129,4.113282212,1.961209101,-0.065558013,-0.150257169,-0.491829968,-0.240676707,-0.045376053,-0.243503897,1.011775992,-0.42001624,-0.034674644,-0.732315681,0.456435404,-0.714947451,-0.294361959,-0.022368136,-0.035298716,-0.544629096,-0.282984428,0.135557063,-0.691710178,-0.501270923,-5.650644657,-0.151444333,-0.033507633,-0.083210135,-0.026010084,-0.178279759,-0.024800465,0.215876341,-0.099696408,-0.015928419
MS14_6,-0.089079813,-0.013303208,-0.062816515,-0.228354323,0.467412584,0.010961682,-0.657168137,4.268684975,-0.017872727,-0.13086823,-0.049848515,-0.354061016,-0.024985465,-0.041607921,-2.051350356,-9.311838422,0.002545678,-0.082079221,-1.569275195,-1.191886377,-0.212867013,-0.156229274,0.288900848,-0.092359369,-0.159652085,-0.094668266,-1.35361991,-0.050290018,-0.243358209,-0.045257827,-0.111415791,-0.389658768,-0.700711458,1.086812744,-1.927037699,-0.019116711,1.746313691,-0.040604064,0.191173154,0.312974874,-0.389638338,-0.260735877,-0.212037681,15.53082322,0.082627458,-0.279347137,-0.01862308,-0.140541253,-0.062253533,-0.147685204,0.001433687,-0.334367682,-0.072258606,-0.0132497,-0.022158704,-0.980296266,-0.142736633,-0.722627116,10.1449478,0.013339166,-0.223554872,-0.476847726,-0.235876901,-0.046308426,-0.143273459,-1.040718086,0.153108998,-0.039308894,-0.088282182,-0.069030301,-0.244921322,-0.305693361,-0.068939969,-1.742976514,-0.638420023,-0.325738977,-0.02554853,1.83732075,-0.044938656,0.120961959,-0.017745083,0.002429025,-0.0705196,0.078509504,-0.088506603,-0.029711401,-0.803860609,-0.210053636,-0.014207027
MS21_1,-0.09165588,-0.059364995,-0.080064515,-0.307969478,1.493967973,-0.005345416,-0.064187845,4.698422422,-0.019304052,-0.142470635,-0.028125612,-0.315999448,-0.023558331,-0.038008243,2.528644204,-9.203000967,-0.024297359,-0.09800076,-1.800143612,-1.205702099,1.23111564,0.019297922,1.2821211,0.02543185,-0.008224615,0.292597739,10.40633074,-0.058608154,-0.283255067,-0.006700867,0.077031067,0.314605304,-0.867857214,1.025247014,-3.277835011,-0.046694253,-1.505616089,-0.081652615,0.005794465,-0.368014857,-0.287449522,0.678301431,0.312607148,-1.825037287,-0.029582935,-0.288105977,-0.02480387,0.046851933,-0.172635159,-0.100434824,-0.370180625,-0.383452606,-0.035970453,-0.024629345,-0.020505261,-1.540689163,0.373255141,-1.858623541,2.966139625,-0.016762747,-0.237356978,-0.779737265,-0.184422157,-0.046021622,-0.174700435,-1.032366563,0.491414485,-0.038679874,-0.45174894,-0.11543002,-1.066171899,-0.313883623,-0.082047623,-1.204589983,-0.852371393,-0.338195606,-0.025184108,-0.240162399,1.11713854,-3.569011121,-0.117783361,-0.060575007,0.098425526,-0.018961263,0.121904045,-0.030682342,-1.086029521,-0.136902039,-0.017280248
