,meta,bac,fun
1,18.10323713,0.476526325,0.957326793
2,16.12618288,0.489804395,0.941919794
3,14.95990023,0.467279707,0.980290265
4,17.06797387,0.640424369,0.913768324
5,23.12264892,0.685058891,0.911671051
6,33.02753067,0.36428397,0.911382031
7,13.69772875,0.577454893,0.914230829
8,22.43016728,0.596982066,0.938265439
9,24.26728353,0.461030139,0.914428209
10,21.41697211,0.478946137,0.955452988
11,18.16448466,0.479902473,0.979351032
12,27.78228695,0.932950599,0.994094055
13,23.9723842,0.509537731,0.93782947
14,29.54873033,0.793477032,0.970446628
15,28.1439767,0.473466804,0.820831009
16,25.04080698,0.475330068,0.95335544
17,25.80886332,0.662680923,0.951053416
18,35.64851967,0.977409589,0.998571129
19,43.13852375,0.99948442,0.99983338
20,37.58686793,0.996523323,0.999673526
21,41.55764961,0.9830394,0.995211331
22,37.43905991,0.984397027,0.999851155
23,43.78188153,0.991068716,0.998108861
24,44.55180552,0.991909499,0.957689572
25,46.86029937,0.999399239,0.999536416
26,37.91001048,0.995425111,0.998472419
27,47.55695455,0.995921742,0.997825162
28,49.6043271,0.999688582,0.998525383
29,47.90998065,0.996407518,0.994734644
30,48.94321926,0.999317965,0.973520777
31,50.41853638,0.999879334,0.99980864
32,51.15659121,0.999792294,0.925093996
33,46.83834619,0.999710251,0.998811783
34,42.90931792,0.998029646,0.996586121
35,53.63998209,0.999786451,0.994861357
36,53.3288176,0.999963441,0.986582347
37,48.62323311,0.999335538,0.999799389
38,55.51549628,0.999984055,0.998900216
39,50.95030723,0.999754092,0.998487549
40,45.49783952,0.999936467,0.997367777
41,52.84127195,0.999418783,0.999820139
42,21.50118615,0.433184819,0.893140571
43,18.45017785,0.487623153,0.711330602
44,21.24047687,0.737253091,0.782242385
45,20.14042876,0.759802769,0.637966692
46,32.65605909,0.323923243,0.60710697
47,15.72563767,0.663284399,0.674179245
48,18.07304954,0.659928553,0.720986558
49,20.33928319,0.532102506,0.625433368
50,23.53468681,0.441279021,0.770647157
51,19.48976049,0.572978356,0.720720049
52,25.24892669,0.900690082,0.94704868
53,23.60456611,0.60106968,0.611858495
54,27.92853455,0.806970299,0.766854049
55,25.06091643,0.635317055,0.834861435
56,20.92760954,0.480994236,0.87497146
57,23.25141083,0.597585282,0.891972294
58,33.25997784,0.966782826,0.983767766
59,40.25726804,0.999248889,0.99814343
60,35.21547193,0.994743421,0.997326862
61,40.29918263,0.975157683,0.981866698
62,35.11952023,0.981397493,0.998849394
63,42.26006006,0.986857784,0.979146774
64,43.09875072,0.991609674,0.981671075
65,45.49007716,0.999067526,0.997709865
66,36.19346959,0.995038513,0.994100969
67,46.26877136,0.994034555,0.995157354
68,48.62674262,0.999682285,0.988660365
69,44.82006813,0.996382868,0.985549509
70,46.20861224,0.999352665,0.988855479
71,47.96635093,0.999873144,0.998857382
72,49.53861245,0.99978735,0.991571361
73,43.94636385,0.999722057,0.995781439
74,40.07263126,0.99768986,0.988573442
75,52.30921584,0.999760308,0.983493196
76,51.60329407,0.99998042,0.98993132
77,46.11593287,0.999090535,0.998326974
78,52.88236234,0.999979804,0.999591729
79,48.81672329,0.999745609,0.99788524
80,42.39887835,0.999736898,0.988263383
81,49.75086284,0.999212814,0.998360718
82,14.22364933,0.49502528,0.940843507
83,15.22202641,0.765196667,0.906504065
84,23.84209745,0.793081888,0.878667678
85,36.41352668,0.323916186,0.863094682
86,18.9459297,0.670008272,0.902126859
87,26.82723356,0.644903536,0.90614329
88,28.45745137,0.56902259,0.886022514
89,26.84553262,0.227399137,0.941445248
90,24.20112134,0.616301467,0.957502062
91,30.5935479,0.892966072,0.990640221
92,29.60193365,0.6547039,0.867521016
93,33.34763585,0.799878584,0.948447353
94,31.97569163,0.61795302,0.817291643
95,27.86303182,0.484943959,0.949912439
96,30.3970113,0.467358195,0.905696802
97,38.48374331,0.955960141,0.997852819
98,44.75104747,0.998981184,0.999731666
99,39.57674087,0.993932962,0.999615375
100,43.45775627,0.967111,0.993276943
101,39.82774698,0.981290752,0.999791006
102,45.52438555,0.980658527,0.996816343
103,47.02093551,0.992130276,0.983379924
104,48.36423899,0.998576912,0.999425183
105,40.51036708,0.992949236,0.997686007
