"","x"
"1","Benzopyrans"
"2","Pyrimidine.nucleosides"
"3","Coumarins.and.derivatives"
"4","Flavin.nucleotides"
"5","Organic.carbonic.acids.and.derivatives"
"6","Lactams"
"7","Tetracyclines"
"8","Pyrimidine.nucleotides"
"9","Sphingolipids"
"10","Keto.acids.and.derivatives"
