#OTU ID,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV11,35598,31227,51989,34786,46522,49160,83421,15750,102961,163840,52147,56872,109100,56070,110938,44959,91274,100860,105050,10989,170143,40974,48782,67194,18858,65113,52673,26472,45807,57084,43977,45548,47336,60535,45000,54483,47317,20642,129890,41065,39789,54121,1079494,19777,73789,58353,60032,109617,102143,53561,51921,105803,98076,110910,109404,115295,49902,122087,88016,95014,525210,71400,1188522,248183,332243,941091,2291994,4212292,5927494,4960941,2383096,3353048,3129234,1253793,8154724,20155564,3106638,13818003,2806122,2620721,67438,783215,171150,1022628,327695,1131124,15093971,69693,25529,312241,174,0,0,318,0,58,64,0,153,338,856,59,3177,400,231,0,65,1003,9192,394477,33531,37042,1518439,42121,1801,134883,195709,14803,102698,24726,2353,665528,1461,82462,11538,31938,3770,180511,30532,73431,36351,197194
ASV12,161340,23420,22281,22290,299548,53023,137324,7000,8825,118434,4489,0,105733,29860,0,2059,224036,31348,20797,66981,137143,12887,86147,36411,740,104601,6499,4021,3817,26966,3319,272866,279820,41486,12857,15926,75708,12984,46413,115539,11465,15222,380168,179410,76937,5611,83640,31464,327690,515629,148805,223016,97640,397227,337431,78728,294129,187437,216232,405015,300682,204906,1046646,246169,79861,280114,7025794,9321911,8106729,4498206,26895273,13862402,2932698,166054,13222317,7920040,3052634,15685484,54047,22208355,35827,328373,47783,109913,294482,242347,3437029,181370,42315,58309,87,0,0,0,0,0,0,0,997,169,785,294,24962,67,2661,0,65,167,34930,769238,86223,12103,309098,24899,180,3133,92430,29182,54317,7042,1629,720809,826,47385,20594,4806,0,617735,1253,31255,12568,631864
ASV13,63732,14194,32071,19926,34138,50214,75293,34300,96657,35946,18649,48747,46132,23224,198938,141742,36178,40208,116248,32444,50572,24122,60718,55278,26993,51250,16076,59980,38519,42025,77583,95313,55724,70695,29571,64122,28040,13650,35728,96398,35405,26384,252152,55448,47211,36470,50252,30787,60546,56111,56203,58607,199204,147679,122926,38719,80431,92199,66435,83192,259979,63373,343328,124343,68599,223626,2586148,8630341,1645592,2377640,2063342,4018105,2096377,1816177,11400539,29824036,2802511,11126933,808544,20652301,29504,1746147,340563,520546,352050,3045412,5672981,77250,64347,84743,0,0,87,0,0,0,0,0,0,85,928,118,151,0,58,77,194,418,36769,583569,73221,16504,2627820,11298,1441,101514,182690,124342,235971,31299,1448,768809,1271,46923,7595,6977,711,120541,6420,43305,8514,129409
ASV14,26699,8162,21943,13171,23094,17557,62887,9100,7144,16649,15886,706,257261,15262,1251,3089,305021,18400,13864,128728,144000,259059,67983,27474,4067,5461,25653,78745,12840,59186,17010,906741,165975,99481,54857,71247,403073,7325,33057,100226,19557,29767,282481,205898,490296,186560,49240,64620,247731,617649,140240,388981,545740,513562,743085,104110,236008,293820,269126,313503,3615193,858916,1507615,560298,1157988,870043,2291994,1687203,1263341,764049,253718,1505130,58542,26615,218449,149716,59688,75411,209702,330414,109588,13312,0,174981,53140,73469,408484,5878,10491,2247,174,4714,606,2226,67,1802,1655,784,2148,6342,5495,9894,41755,5928,13074,1310,2002,1003,25070,88453,58440,6846,25960,7349,420,5326,2893,1974,12230,1408,0,10787,64,2308,584,3101,427,5110,470,502,1757,5862
ASV15,35311,7097,20593,33435,28114,17908,28235,20650,14288,19298,18303,4945,17173,13603,0,686,140728,4430,10665,42386,77143,23130,17645,9268,7765,2100,19496,62661,14228,37473,6638,581157,34154,120647,30000,80886,264626,7325,11687,311467,12139,27737,290945,181176,55254,99592,30353,37892,199202,1255703,71726,315334,227537,282700,826675,169071,109785,601825,305941,144054,1089372,328695,433199,369505,868747,230614,139969,145173,85847,0,25488,164152,2788,579,12365,0,0,14404,0,0,0,0,0,46603,8857,0,0,0,0,355,174,6397,606,2608,268,3256,7704,5877,3760,2114,2426,29682,138275,3330,20189,77,2389,1337,26240,73528,61588,611,12131,37404,0,313,579,0,3777,156,0,674,0,0,2483,155,0,1954,0,0,541,3006
ASV16,2584,1065,1013,1013,1339,5618,0,0,0,0,1381,687761,0,0,0,0,0,0,533,0,0,0,0,0,0,2941,0,0,347,0,0,0,0,0,0,0,11809701,2924170,1336,1044,0,0,0,9544406,350,0,1349,0,462,425,0,0,10461,628089,615,860,587,0,0,0,0,0,3029,0,0,0,21870,0,0,25110,0,0,0,0,0,0,0,0,10809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV17,51388,5678,51314,7768,73297,40382,161709,5250,113467,60920,3799,5652,118529,23224,24607,0,52773,72578,81054,70644,124286,31391,111057,46672,12202,47470,6499,28147,19086,58835,71774,37535,61117,20743,10714,5867,76409,10654,41739,24709,13488,12854,156934,59332,4896,12624,24620,26728,103530,116899,118294,80908,113769,180832,122311,42590,274755,67883,180687,102458,7123155,1125928,13053037,2402286,4052958,455404,6067880,12513422,3250580,2405739,901336,4422450,137993,12729,323551,384357,329707,869345,382653,53657,94835,44375,249341,138050,75281,78572,197963,26030,14338,3253,0,0,0,6489,0,0,0,0,230,3382,856,883,10287,0,289,77,0,501,25404,33136,21214,3545,191549,14589,0,0,723,0,4137,782,181,3775,826,4154,584,2171,0,9168,0,1130,541,11723
ASV18,0,0,0,0,0,0,0,0,0,0,7598,0,0,38154,0,0,0,0,0,5233,0,0,0,0,8135,0,0,0,0,0,0,0,0,28786,9000,0,0,0,0,0,0,0,0,0,0,1964,16863,0,0,0,0,0,0,0,0,0,0,7599,0,0,0,150828,2317971,0,0,0,0,0,0,355462933,0,12502112,3927920,0,21692349,875529,0,0,0,0,0,0,0,8793,0,0,0,0,141283,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,5091,0,0,0,249861,1556686,353923,168093,0,0,0,0,95034,0,3058,0,0,0,0,769,0,0,0,0,783,3138,0,0
ASV19,35311,10291,34097,27356,40498,35466,17540,28700,13868,38595,12432,7418,85192,20238,10427,16817,19250,7156,24529,10466,9000,22139,49301,19198,18488,19744,2394,9717,11799,0,31531,34161,14980,25823,21429,28499,0,11320,20034,34105,10453,27737,15517,15893,19584,7294,11130,22329,36050,39533,39075,16078,33128,28330,44868,10755,51076,30902,33006,33715,44205,25772,57053,62423,42490,94924,790607,3636174,1179234,450179,0,550392,5482083,274828,3822849,6846640,10507996,24660239,194569,11434592,4215,148655,198952,83534,332123,1244900,9936581,0,43014,257836,174,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,194,84,39777,102008,47217,4768,17469,2633,901,235770,135680,44690,180216,20344,121,141978,635,42769,1607,3411,711,69739,54489,149623,7162,76202
ASV20,117990,82325,84060,55049,133207,86382,125774,110949,186591,149840,70105,43802,229312,84935,55469,82025,131102,129823,138645,120879,93857,53860,177483,182054,46960,120145,93034,69362,89532,126076,98327,142126,168971,80008,104571,134531,134942,46278,144916,210197,75194,56151,238046,134911,47211,25810,75209,212806,230631,198515,229095,129660,141230,170585,301782,185419,352838,179332,155721,238192,236782,193077,137836,208916,106994,124042,195738,0,213457,0,103109,276403,50179,15043,0,0,82427,61854,82151,420784,33719,33281,72109,135412,53140,29592,144779,6717,18185,4258,0,0,0,573,0,0,382,327,3760,0,0,412,1967,200,347,0,194,0,2340,0,0,0,0,987,0,1567,0,0,1439,0,121,4584,0,1538,3651,465,142,2856,626,0,270,2405
