Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Enterocarpus,16638,9777,5888,5705,10897,1808,7376,7314,4697,8612,7194,0,32826,8872,20196,12585,7167,26206,0,497245,98608,111798,15061,49487,214656,0,1710493,290676,45477,2488562,402110,53657,0,0,109467,21983,0,8163,2938427,840,10491,9935
Filobasidium,212143,1310538,75473,319484,234511,305003,886295,178537,109785,657043,329636,148871,1107317,365029,438248,373532,876938,233526,139969,145173,85847,0,25488,183464,2788,579,12365,0,0,14404,0,0,0,6656,0,46603,8857,6122,0,840,0,355
Geopora,52228,75240,62091,32674,21360,39782,40565,29253,6458,18744,58396,34152,503325,31264,563967,126859,92660,30866,2328081,465238,972738,2620965,26646,281231,4182,579,43278,21888,0,8473,0,0,0,0,2606,879,15499,8673,11819,0,6645,0
Phaeosphaeriaceae_gen_Incertae_sedis,104454,168334,101702,72092,380100,134419,408728,36137,190803,195035,73628,60424,475753,468538,484698,95648,331732,759395,147624,157747,277842,1775608,44024,843693,0,26036,10304,0,0,40671,2162,76249,0,11094,0,262031,0,60714,35456,9236,8043,0
Alternaria,139579,402556,77615,226128,316459,327306,186847,58508,76908,109930,121445,129167,1699928,307149,859835,327722,349650,428616,230730,164605,230858,233758,23171,261919,16726,5207,0,54283,0,26267,0,19768,2107,19969,0,20224,0,19388,19205,840,9442,0
Trichomeriaceae_gen_Incertae_sedis,299496,56112,147200,255690,102436,333334,320835,141537,689236,186930,278858,194407,442489,181671,218620,315138,69623,787348,987438,43437,51624,277401,108902,167773,13939,8100,26791,14884,54004,24572,12971,70601,12644,4438,5213,145964,101851,12245,0,7557,8393,0
Heydenia,0,11052,2141,1037,17872,30741,0,6023,5284,0,0,1751,97164,2112,921432,7551,14846,0,50301,1084794,2283063,1045038,595484,210018,149144,61330,39156,401868,8527,15252,38914,0,2107,13312,0,0,0,2551,27331,0,0,355
Bradymyces,183488,40808,73332,140034,66692,195300,314075,164769,1068494,100811,141757,140989,142244,147870,167625,453576,47610,1480355,424282,0,38863,49621,38231,38624,0,0,0,0,0,0,6486,0,2107,0,1738,40448,55354,0,0,2519,0,0
Aureobasidium,292563,1223820,117760,221978,277665,233876,352182,41730,98043,196555,123561,58673,326942,64218,254467,147500,181224,170049,36086,18289,93968,0,11585,251056,5575,1736,0,0,0,12710,0,45185,25289,4437,1738,50121,0,0,0,0,2098,177
Fungi_gen_Incertae_sedis,482520,154305,206077,105804,225357,300786,111863,99805,388650,255828,176454,191781,308998,88721,153994,47320,277983,260898,149810,244621,89907,0,70671,33796,32059,12150,24730,84926,14211,52534,56209,22592,0,2219,2606,21102,22141,22448,31763,0,1749,0
Pseudoarthrographis,171470,53560,78148,200195,192230,213381,129688,95505,558903,177305,85477,75311,52083,213778,189335,65947,49658,643507,266816,62870,81786,261259,16219,71213,0,3472,0,31519,19896,31351,6486,36713,10536,0,0,216307,35426,19388,35456,75570,7344,0
Pleosporales_gen_Incertae_sedis,104454,104996,184668,67424,112897,178420,113706,55927,334638,99798,72783,66554,172881,202371,205492,69471,114161,493841,119192,81159,21462,72937,10427,191913,2788,0,0,8755,11369,16946,4324,33889,6322,2219,0,838854,55354,15306,15512,2519,1049,177
Paraphoma,156681,80341,78148,75722,84127,74141,205286,43450,199608,71935,106212,170325,211396,211244,358475,210427,180200,585852,0,75444,166473,249303,50975,263126,4182,0,26791,0,2842,31351,0,0,0,2219,0,59793,0,13776,0,1679,3497,296
Absidia,4159,8076,2141,7779,3924,11453,2459,0,7045,7599,8886,1314,17069,3802,0,0,4608,0,0,18289,17401,0,0,14484,0,0,0,12257,0,0,0,3727750,0,0,0,0,0,0,67958,1679,0,0
Metarhizium,57312,25080,1453255,5186,19615,24111,7990,3442,4109,7092,8886,17952,8753,9294,29789,9565,1660705,30283,0,0,0,0,3476,14484,6969,5207,14426,0,5685,0,2162,14120,0,6656,11294,41327,6642,2551,0,840,0,0
Inocybe,11555,425,0,9336,159537,799277,615,860,25832,6586,61781,2189,0,1267,9593,4027,118256,1189176,21870,30863,17401,25110,16219,26554,47392,0,8243,0,0,0,10809,0,2107,0,0,0,719600,37245,0,0,0,0
Acremonium,86891,54411,74936,46678,156485,108499,83590,51624,86889,50152,57973,38969,102415,70555,135311,55375,50682,430363,0,0,141531,208052,23171,156910,13939,5207,18547,0,36950,7626,0,14120,52686,4437,13032,41327,28784,4592,82732,0,8393,946
Coniosporium,121555,25505,38004,49271,72359,125980,179472,60658,417417,71935,83362,74873,43767,62950,86842,96655,14846,283026,308370,18289,21462,49621,8110,7242,0,2315,0,24515,2842,20336,4324,16944,0,0,3475,76499,24356,0,0,6717,5246,0
Plectosphaerella,30504,54836,123647,53420,12641,61483,52858,8604,65166,20770,77860,138800,168505,87877,186811,48328,22525,29118,139969,81159,294084,88481,23171,35003,15333,17358,53582,64789,11369,49992,0,19768,8430,19969,2606,37810,33212,17857,104152,1679,4896,296
Pustularia,0,2125,0,0,1744,57263,615,0,0,0,22850,438,5252,8872,0,0,0,0,2037207,62870,0,33479,0,16898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Didymella,36975,32306,47103,61719,20051,16275,37493,15918,32877,22290,38508,41596,157125,137308,491767,46313,70134,100748,0,0,298144,218812,22012,115872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67958,0,0,0
Setophaeosphaeria,71638,66313,21946,23339,41410,90416,96497,26243,144422,52685,46970,69619,99790,92524,137836,54369,49145,187519,181522,0,81206,88481,53292,203983,0,1157,0,0,0,12710,0,28241,2107,0,2606,43086,0,0,0,840,1049,0
Spizellomycetales_gen_Incertae_sedis,32815,31030,64232,138478,35308,79569,28888,54635,74561,46606,92248,106399,80530,82807,268098,19633,29694,373875,64517,0,26102,25110,27805,4828,0,1736,0,0,0,0,0,0,0,2219,0,9671,4428,2041,0,0,2098,118
Orbiliales_gen_Incertae_sedis,85966,15728,49780,43566,15692,54250,104487,68402,233073,95239,67705,79251,11380,63373,114105,64437,13311,183444,162932,12574,34223,41251,0,27761,0,0,8243,0,0,0,0,0,0,0,0,58913,0,5612,0,2519,699,0
Samsoniella,18950,13603,5888,19708,15256,116938,72526,31405,97456,72948,36391,27585,10942,29997,45945,13089,25597,84442,77639,88018,64385,96253,20854,14484,16726,4050,16487,77922,119377,15252,0,70601,2107,2219,6950,11431,112922,62245,19205,840,0,828
Exophiala,42059,69289,28905,23340,27461,66305,149969,16347,109197,32928,29621,57359,49895,27883,74219,40776,39931,80366,119192,50296,34223,49621,38231,113458,4182,1736,22669,21888,25581,11015,2162,45185,0,0,0,9673,6642,8673,27331,4198,3147,0
Articulospora,41596,24230,9635,12966,185256,80771,27044,22800,82192,36475,16503,81440,13568,68866,133292,36749,36347,273708,0,0,60325,104026,0,51901,0,0,0,0,0,0,0,0,0,0,0,6155,4428,69898,0,0,0,0
Naganishia,34663,77790,39610,43566,37923,68716,94039,24522,78082,74468,49087,38969,79656,53233,28779,53362,56824,20965,63424,0,81206,0,27805,37417,1394,2893,8243,0,8527,0,12971,127082,0,2219,17376,42206,19927,36225,0,0,0,13424
Dothiora,69328,76090,17664,33193,421946,37975,60848,16778,49315,46099,28351,20141,111607,112804,55538,28695,29692,75124,0,0,0,0,0,0,0,0,0,0,0,0,0,22592,4215,39937,2606,36051,6642,9694,0,0,0,532
Tuber,0,1275,9100,519,0,5425,0,37858,58121,26849,19464,438,16194,2957,32313,32218,4608,556734,28431,25148,0,72937,0,0,0,1157,0,0,0,66091,0,16944,0,0,4344,16707,236914,7143,31763,0,699,11531
Herpotrichiellaceae_gen_Incertae_sedis,57311,13178,23017,43048,8282,44605,146896,97227,153229,50152,32583,19703,50770,22392,49480,57893,10751,131031,264629,0,0,0,13902,0,0,1157,12365,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0
Niesslia,77647,36557,20340,90244,28770,22303,106945,36137,194912,85107,68551,17952,46831,33376,44431,13592,15870,91430,91855,0,0,0,23171,12070,5575,579,0,18386,2842,22877,0,19768,23182,6656,2606,19345,6642,0,0,0,0,118
Thelephoraceae_gen_Incertae_sedis,42520,30181,26764,25932,53180,107896,79902,55066,27005,75988,14811,55169,13130,12675,32818,15102,3072,16889,0,12574,42923,80709,50975,39831,20908,6364,51521,0,5685,9320,32428,11296,21074,13312,9556,7034,30998,2551,63526,5038,78335,0
