Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Psychrobacter,0,0,0,2,0,0,0,0,1,6,2,0,0,0,0,25,7,1,0,0,3,0,1,7,0,0,0,0,5,1,0,0,4,5,1,1,0,2,1,2,9,3
Vicinamibacterales_genus,1,9,11,16,2,14,0,1,4,6,2,9,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turicibacter,0,0,0,0,3,0,0,77,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteriap25_genus,2,9,2,11,1,10,10,1,16,2,3,10,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litchfieldia,0,1,0,3,4,3,0,58,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Massilia,11,0,3,2,9,6,0,0,3,10,2,6,6,7,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solibacillus,0,0,0,0,0,0,0,8,16,18,0,8,1,0,2,9,0,0,0,2,4,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Neobacillus,0,12,0,0,8,0,0,5,6,0,0,20,1,12,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenarthrobacter,0,7,0,0,0,0,9,0,3,0,0,15,0,15,4,0,4,3,0,2,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,0,0,0,1,3,0,0,0,2,6,0,0,0,0,51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,5,3,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae_genus,0,0,0,0,0,0,0,21,1,0,2,5,0,0,0,15,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pyrinomonadaceae_genus,2,12,0,12,3,0,0,2,3,3,1,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delftia,3,3,4,0,2,2,0,8,2,0,8,3,0,0,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligilactobacillus,0,2,0,2,5,9,0,17,2,4,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Microvirga,0,1,0,3,0,5,0,3,5,1,0,10,2,2,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gemmataceae_genus,3,6,0,12,2,8,0,0,4,4,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaiellales_genus,5,0,0,7,2,8,4,0,1,1,0,5,0,11,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastococcus,0,11,5,6,1,6,2,4,7,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces,0,0,0,1,4,7,0,0,3,0,0,19,0,7,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pir4_lineage,0,1,0,10,2,5,5,3,7,0,0,3,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pirellula,0,7,0,7,0,7,2,4,4,4,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadaceae_genus,0,0,7,2,2,8,1,0,4,4,0,6,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KD4-96_genus,5,3,0,10,0,0,0,2,6,0,2,5,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WD2101_soil_group_genus,4,0,0,0,6,10,0,6,4,1,1,5,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryobacter,6,8,6,6,2,2,0,2,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichaceae_genus,4,0,0,0,1,0,0,28,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,0,0,4,5,0,2,1,0,0,2,0,0,1,2,0,0,7,2,11,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomarinales_genus,0,3,0,3,0,2,6,4,2,2,0,4,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides,1,0,0,4,8,3,0,0,5,0,2,7,1,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaiella,0,3,0,8,0,4,3,3,5,0,0,2,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospira,0,6,0,0,2,5,0,0,1,10,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67_14_genus,4,2,3,3,0,4,0,1,9,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subgroup_2_genus,2,11,0,1,7,5,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTCFX1,0,0,0,6,4,3,0,1,2,7,4,2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseiflexaceae_genus,0,3,0,1,9,0,0,2,9,0,1,4,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skermanella,0,1,0,0,2,10,0,2,3,2,0,8,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingobacterium,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0
Sphingomonas,1,3,0,7,1,3,6,2,2,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthobacteraceae_genus,0,13,0,3,1,2,0,0,4,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodococcus,0,0,0,0,3,1,0,1,1,1,1,2,0,0,1,4,0,5,0,1,2,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Methylobacterium,9,0,0,0,2,4,3,1,0,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,2,0,0,1,1,0,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Savagea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,0,0,0
TK10_genus,0,13,0,2,0,0,0,4,1,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MND1,1,0,4,6,1,0,4,1,4,2,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JG30-KF-CM45_genus,0,7,0,4,1,6,0,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Terriglobales_genus,3,4,0,6,2,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,3,0,0,0,4,0,0,17,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB-A2-108_genus,0,0,0,3,0,2,2,3,11,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verticiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrimonas,5,6,0,1,0,0,0,0,1,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium,5,0,0,2,3,4,0,3,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferruginibacter,3,0,0,6,0,2,0,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steroidobacter,0,0,5,10,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCG-005,5,0,0,0,0,1,0,3,3,5,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Comamonas,6,0,0,0,2,0,1,2,0,0,0,0,0,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmata,4,0,2,2,2,0,0,4,2,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinophagaceae_genus,0,3,0,2,0,8,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,0,0,0,1,3,0,0,1,1,1,0,3,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Paenalcaligenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,1,0,0,1,0,5,0,0,3,0,2,0
S085_genus,0,1,0,1,2,3,0,0,5,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCG-010_genus,10,0,0,3,0,1,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4b_genus,0,1,0,3,0,1,0,0,1,2,0,0,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Loigolactobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Solirubrobacter,0,0,0,6,0,1,0,0,1,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardenticatenales_genus,0,8,0,2,0,4,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haliangiaceae_genus,0,0,4,0,3,1,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctomycetales_genus,0,0,0,3,6,2,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas,2,1,0,2,7,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter,1,0,0,0,4,4,0,0,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirellulaceae_genus,0,3,0,5,1,1,0,0,4,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,1,0,0,0,1,3,0,0,0,1,0,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Thermus,4,1,0,0,3,3,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agromyces,0,0,0,0,0,0,6,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus,0,3,0,0,4,0,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
