"","GS01_1","GS01_2","GS01_3","GS01_4","GS01_5","GS01_6","GS03_1","GS03_2","GS03_3","GS03_4","GS03_5","GS03_6","GS07_1","GS07_2","GS07_3","GS07_4","GS07_5","GS07_6","GS14_1","GS14_2","GS14_3","GS14_4","GS14_5","GS14_6","GS21_1","GS21_2","GS21_3","GS21_4","GS21_5","GS21_6","GS28_1","GS28_2","GS28_3","GS28_4","GS28_5","GS28_6","GS35_1","GS35_2","GS35_3","GS35_4","GS35_5","GS35_6"
"KD4-96_genus",2939278,3911057,4817438,4185086,2698047,3953706,2459324,3344066,3530333,2289826,2871122,2485969,3247306,4516611,2186028,2435620,4575703,3601769,2996352,0,3377708,4276531,1323405,1272453,1694516,967935,21162053,4631997,10970936,3476974,0,8384421,372385,1650051,878480,2270897,1304285,1277429,2011643,173669,936962,71421
"Actinomarinales_genus",2628703,2962928,2593807,1725760,2041272,2096409,2181121,2564304,745872,1618350,2328976,860794,3042721,2756984,1462374,1545088,4468594,2879847,1084211,2686561,3262686,2635487,829580,791743,379883,112720,5379526,2091291,2541873,481169,0,1995860,0,0,59419,174038,181262,356879,884873,14792,106182,7967
"Rokubacteriales_genus",1817509,1774103,2946178,2637257,1728847,1409775,2024064,2575343,907165,2134135,1951148,1353148,1499284,2391778,1041605,1484948,3197815,1805045,692055,564760,1859855,1220264,704640,675702,535907,367758,8860648,2284373,2676178,1898912,1030595,1934283,96231,0,445102,236889,347793,540490,1482736,56745,101241,26949
"Skermanella",513500,483594,751668,949800,504053,798865,1004782,620519,1507020,630379,663251,1221070,561804,823906,821903,581097,518076,857728,650823,393985,808003,569452,54837,273010,37170,49951,348281,671238,0,631249,851782,434904,45691,0,19113,246498,58306,95238,181466,52340,123925,0
"Subgroup_10",3546718,3519541,7508318,5192458,4023770,5269289,4817970,4716392,9460606,3678897,4813280,4813185,3955219,7073994,2882310,3755552,6686917,6280424,3790127,1722405,3663866,3663704,490407,1265591,395155,88753,11552680,4535753,998946,1334314,881544,0,130949,0,84348,0,103183,339807,1454391,86413,73338,11828
"Microscillaceae_genus",2014546,1593717,2499170,2144585,2043242,2004421,2226797,2376027,2678360,1331816,1967689,2500583,1756827,2153417,1527305,1478524,2988654,2073651,1632337,1088222,1393851,1587285,838776,837658,245322,0,1669276,838758,636676,293171,626946,1064668,75868,0,131187,94086,225844,95408,483091,0,74488,6860
"Nocardioides",957382,1196405,1621222,1390393,883214,1988055,1110010,916365,2116508,1043782,1011183,1650697,1181899,1776279,1558770,984078,1456029,1699089,1963467,1429935,2829847,2460804,1018813,881516,969965,2429185,25427771,4830170,2226662,4717035,1737602,7086575,164175,367297,389814,3708468,204383,1255830,1170254,128310,262741,21042
"TRA3-20_genus",855346,940401,1612373,1246678,1104732,1072129,1043390,1244503,1165089,817563,1192958,1319400,1208450,1589002,893732,949578,1707803,1077441,1051518,467601,998918,1252771,323770,526575,55754,27463,1494792,673807,547238,623624,379338,342068,0,0,70892,39862,23618,86258,303740,30901,0,4604
"Ardenticatenales_genus",1816030,2437517,2514103,1908210,1835645,1431796,1857015,2415173,908851,1557249,2115450,1319343,2754752,2254244,1339461,1765715,4611662,2454809,1025435,1432757,2597970,2162209,373480,596525,181195,88606,2106014,936516,1469409,605959,371843,1179537,0,0,44263,221931,215989,107254,1121080,0,31174,6554
"Streptomyces",588772,514923,479077,466152,412200,424353,304008,245284,161622,265307,278526,215324,996895,1191055,816192,372712,948818,601275,549870,1895853,1791938,1271139,568985,346361,588171,625608,12252113,3047726,817334,2308186,3869647,5376195,37450,0,296589,1686635,126624,1050855,2926082,608767,284623,54157
"Gaiella",3797318,4198146,5627816,4867972,3291004,5186257,3277198,3634378,3810914,2932122,2946845,3379354,2695201,5224474,2634540,3047661,3544608,3743400,3118686,0,3187934,2868474,1955599,337960,2096378,1685994,28060328,6524447,10579053,4909339,4868557,9206414,269754,1051682,668964,5043673,934373,1261227,2099299,384572,1047036,10408
"Lysobacter",1926213,1399949,2611093,2050363,1740264,1247454,1833931,1494659,3187028,1713710,1383918,1682609,1177970,2184862,1003537,1034155,2057475,1237373,1185155,508403,1424704,624608,377349,503491,687642,69981,3666323,4052451,370853,1809219,265602,2581991,128454,0,292905,509996,189784,351799,467823,73572,215822,16277
