"","x"
"Com_249_neg",1.00142722268232
"Com_916_neg",1.04053077774517
"Com_994_neg",1.0982898549824
"Com_1515_neg",1.06399624349139
"Com_1758_neg",1.48239264202471
"Com_2248_neg",1.07394688784431
"Com_2506_neg",1.39684716593325
"Com_3640_neg",1.23663604396024
"Com_3723_neg",1.08363251436893
"Com_4423_neg",1.14684962033464
"Com_4935_neg",1.4588376165411
"Com_5490_neg",1.47543487651562
"Com_5606_neg",1.38366775436803
"Com_6379_neg",1.08221286007556
"Com_7179_neg",1.2079352017619
"Com_7621_neg",1.17432394355109
"Com_9020_neg",1.79314571938069
"Com_73_neg",1.2503328002591
"Com_66_neg",1.20617774729346
"Com_3923_neg",1.24468286892928
"Com_456_neg",1.25997278242965
"Com_956_neg",1.79281638354768
"Com_35_neg",1.08995530214371
"Com_1878_neg",1.05166952848966
"Com_4374_neg",1.19976734202998
"Com_1987_neg",1.50715037199841
"Com_3411_neg",1.16743101292376
"Com_8038_neg",1.27829693665922
"Com_18_neg",1.00371037584972
"Com_1185_neg",1.05521083202108
"Com_12878_neg",1.23621883518687
"Com_312_neg",1.24525262941952
"Com_1058_neg",1.41941974690846
"Com_1_neg",1.14304684110411
"Com_31_neg",1.4868218420268
"Com_84_neg",1.09339302890441
"Com_95_neg",1.36212729380624
"Com_106_neg",1.33633914453993
"Com_107_neg",1.36007913941762
"Com_119_neg",1.05353542834879
"Com_155_neg",1.0558511199215
"Com_216_neg",1.44913967050225
"Com_231_neg",1.2310998192002
"Com_232_neg",1.3514608843033
"Com_341_neg",1.50120950007924
"Com_426_neg",1.18508942702711
"Com_524_neg",1.45905886667469
"Com_525_neg",1.23466212109311
"Com_557_neg",1.18383890263132
"Com_607_neg",1.07698121470463
"Com_625_neg",1.31731380434822
"Com_824_neg",1.16389097333938
"Com_997_neg",1.12471633727272
"Com_1019_neg",1.44490759098309
"Com_1026_neg",1.33934768579988
"Com_1089_neg",1.06837219881569
"Com_1192_neg",1.2291252083359
"Com_1200_neg",1.32831137244907
"Com_1259_neg",1.40822951589273
"Com_1271_neg",1.12454718655178
"Com_1397_neg",1.15117156570546
"Com_1427_neg",1.11174551674445
"Com_1438_neg",1.10444066195998
"Com_1551_neg",1.00798078312527
"Com_1875_neg",1.39180919631137
"Com_2282_neg",1.46816175224893
"Com_2453_neg",1.04865738503614
"Com_2455_neg",1.33702058702536
"Com_2456_neg",1.2319137569
"Com_2579_neg",1.58479227677958
"Com_2726_neg",1.36158444664161
"Com_3742_neg",1.02852436526251
"Com_3912_neg",1.24229328778959
"Com_3948_neg",1.32260300883673
"Com_4124_neg",1.50714029263926
"Com_4302_neg",1.60197050679328
"Com_4578_neg",1.43149610053636
"Com_4857_neg",1.31906577745917
"Com_5255_neg",1.22974122232438
"Com_5384_neg",1.23621077036532
"Com_5440_neg",1.06692707941476
"Com_5635_neg",1.4728494910692
"Com_5688_neg",1.0419154217417
"Com_5779_neg",1.16067877967745
"Com_6191_neg",1.05923978274243
"Com_8463_neg",1.0782874925575
"Com_8753_neg",1.25464295552798
"Com_8754_neg",1.02281484932144
"Com_9021_neg",1.62137390671417
"Com_9241_neg",1.01117792126
"Com_10206_neg",1.51628508361878
"Com_10347_neg",1.34431149613901
"Com_10503_neg",1.02996462846576
"Com_11262_neg",1.06490652193268
"Com_12079_neg",1.0065305283629
"Com_12561_neg",1.28496981822899
"Com_12733_neg",1.03643579732709
"Com_12921_neg",1.36432556418687
"Com_12957_neg",1.46989196910184
"Com_17624_neg",1.20728123562257
"Com_19687_neg",1.37663145795899
"Com_20385_neg",1.1515730489776
"Com_20487_neg",1.24005952235703
"Com_21760_neg",1.15058908139693
"Com_22946_neg",1.19253342785105
"Com_24170_neg",1.12813328354979
"Com_27062_neg",1.53106983299866
"Com_29394_neg",1.44896349383569
"Com_30071_neg",1.22355029005173
"Com_30201_neg",1.31217034617046
"Com_30336_neg",1.33737594715944
"Com_34437_neg",1.32074036473033
"Com_37069_neg",1.06022263556577
"Com_38299_neg",1.21383091933163
"Com_38636_neg",1.34281405513622
"Com_39111_neg",1.17573366163008
"Com_39731_neg",1.14787063425614
"Com_42138_neg",1.17582235638463
"Com_42296_neg",1.03063364119464
"Com_42512_neg",1.3354460021638
"Com_45993_neg",1.12263562849768
"Com_49430_neg",1.04263083064883
"Com_54631_neg",1.34527625115634
"Com_55564_neg",1.07442155237551
"Com_60948_neg",1.2427607480554
"Com_61689_neg",1.16567170014945
"Com_63001_neg",1.01731994207373
"Com_68013_neg",1.23667629787098
"Com_70147_neg",1.01256965661922
"Com_71070_neg",1.15739110965054
"Com_75604_neg",1.00132464068205
"Com_77951_neg",1.4390501564726
"Com_78264_neg",1.09734176167909
"Com_82534_neg",1.02231793838438
"Com_84289_neg",1.13420105398652
"Com_84814_neg",1.22525377488574
"Com_87037_neg",1.06029998604601
"Com_2348_neg",1.19267543348317
"Com_9_neg",1.12911295795796
"Com_299_neg",1.06008658061253
"Com_2774_neg",1.31906887002676
"Com_6406_neg",1.46737742477505
"Com_534_neg",1.27394188045189
"Com_152_neg",1.25849909305056
"Com_723_neg",1.08434626877862
"Com_548_neg",1.45393156003711
"Com_2776_neg",1.10222980434892
"Com_14570_neg",1.11833042804729
"Com_262_neg",1.1208925278547
"Com_1005_neg",1.06671721122467
"Com_2376_neg",1.28142574950744
"Com_2319_neg",1.1895341972182
"Com_7828_neg",1.00523432178421
"Com_7562_neg",1.14973434259219
"Com_13107_neg",1.30921294936233
"Com_254_neg",1.04484850876569
"Com_8266_neg",1.15228559822468
"Com_3052_neg",1.08315652069102
"Com_7706_neg",1.49892037120285
"Com_4706_neg",1.13781519891009
"Com_10791_neg",1.21367287992792
"Com_10334_neg",1.17708042215806
"Com_6394_neg",1.11014872858119
"Com_2288_neg",1.09271373032091
"Com_734_neg",1.28290987939241
"Com_7478_neg",1.0863908465857
"Com_7790_neg",1.01942519369713
"Com_18458_neg",1.07751696215693
"Com_633_neg",1.0305033360627
"Com_17359_neg",1.51948154715301
"Com_13353_neg",1.07144744423405
"Com_31728_neg",1.10008126196059
"Com_9887_neg",1.4073948160247
"Com_3198_neg",1.16545038253918
"Com_2962_neg",1.10928944396931
"Com_13076_neg",1.08573633698064
"Com_16113_neg",1.10399380270497
"Com_5035_neg",1.31071520931992
"Com_12831_neg",1.27993683978857
"Com_16117_neg",1.1380236628509
"Com_8278_neg",1.02616890911542
"Com_28792_neg",1.3432922046797
"Com_20733_neg",1.14232349342609
"Com_9156_neg",1.52202169276279
"Com_31814_neg",1.2379927759704
"Com_15690_neg",1.03629055180509
"Com_18708_neg",1.00136572177445
"Com_17841_neg",1.16352618729879
"Com_12980_neg",1.41474444001644
"Com_33359_neg",1.22194000290376
"Com_16279_neg",1.25094768731477
"Com_64839_neg",1.04537925703937
"Com_8_pos",1.357050090168
"Com_11_pos",1.05861104828846
"Com_19_pos",1.20477994624633
"Com_29_pos",1.13581984121496
"Com_79_pos",1.12155963519067
"Com_177_pos",1.22766225143637
"Com_227_pos",1.12218632905799
"Com_345_pos",1.06670930427895
"Com_359_pos",1.59495594763272
"Com_360_pos",1.32827988966547
"Com_460_pos",1.27629244461729
"Com_558_pos",1.11681067979378
"Com_1147_pos",1.4060479918198
"Com_1722_pos",1.17608140118295
"Com_1745_pos",1.19588100414952
"Com_1875_pos",1.39939499071736
"Com_3119_pos",1.03746795311546
"Com_3448_pos",1.4665221887012
"Com_4758_pos",1.08692474268419
"Com_6691_pos",1.01213117200637
