OTUId,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV13,16,16,8,19,9,23,19,23,36,9,12,22,7,16,89,105,7,26,27,4,15,4,10,9,13,7,6,17,5,6,15,6,7,11,8,17,0,2,14,18,10,9,27,4,9,10,10,7,4,7,12,14,38,20,15,8,3,18,14,13,13,6,5,13,4,8,1,21,6,1,16,21,46,114,85,89,48,115,17,65,3,107,10,28,2,56,18,9,4,10,0,0,5,0,0,0,0,0,0,8,22,4,1,2,1,16,4,19,27,54,15,33,236,14,47,29,181,164,190,99,41,81,71,34,17,17,6,22,2,36,10,25
ASV14,4,16,7,5,6,4,14,8,3,4,10,0,35,5,0,2,67,8,1,20,27,62,17,7,2,0,18,29,2,16,3,53,22,28,15,21,41,1,5,22,6,10,32,10,94,54,10,7,37,99,20,90,98,73,94,26,16,79,55,54,71,104,46,38,68,21,5,3,3,1,2,5,2,3,1,1,3,0,5,0,8,0,0,5,0,0,1,1,2,0,62,320,69,71,8,187,206,77,96,346,211,182,104,491,277,266,67,53,22,4,8,17,2,6,11,0,5,5,3,3,0,1,3,1,1,5,6,0,0,0,1,0
ASV15,14,14,7,24,14,9,10,19,4,1,14,1,1,7,0,1,19,2,0,5,14,1,3,2,2,0,8,22,2,5,0,43,2,28,11,13,19,1,3,67,4,7,27,7,12,27,6,1,38,172,11,67,37,37,107,48,9,182,64,31,29,34,16,26,57,9,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,410,63,87,45,298,975,761,157,136,81,515,345,281,416,10,72,57,21,5,5,1,1,48,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
ASV16,0,3,0,0,0,1,0,0,0,0,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,702,0,1,0,0,0,425,0,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV17,16,4,15,4,28,21,38,2,48,20,2,2,23,14,12,0,3,29,11,5,32,3,14,6,7,4,3,8,3,12,11,0,6,1,4,1,6,2,8,6,1,3,16,2,0,6,1,4,17,13,31,18,16,17,10,11,22,16,38,15,236,165,370,192,241,15,12,30,7,5,6,13,3,1,0,2,2,5,8,0,4,1,6,9,0,0,1,4,1,0,0,0,0,231,0,0,0,0,4,195,30,12,30,0,6,13,0,26,24,1,1,7,20,20,0,0,0,0,0,2,7,1,43,1,2,5,0,1,0,1,0,2
ASV18,0,0,0,0,0,0,0,0,0,0,8,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,56,0,0,0,0,0,0,709,0,79,96,0,160,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,45,0,0,0,0,96,0,0,0,191,121,47,529,0,0,0,0,84,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0
ASV19,12,9,7,18,10,13,3,15,6,12,15,1,14,12,5,14,5,3,3,2,1,4,2,5,9,3,0,3,2,0,4,0,3,4,11,7,0,3,2,5,3,12,0,0,10,3,0,1,8,8,15,5,7,1,2,2,6,5,5,6,2,0,2,1,3,3,1,7,4,1,0,3,120,14,26,41,219,231,2,40,0,12,2,2,1,28,30,0,7,46,74,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,38,7,7,19,1,0,31,81,127,58,141,67,5,16,27,39,3,11,10,5,32,158,9,11
ASV20,35,77,27,33,60,46,34,72,64,39,52,16,31,51,19,66,34,56,23,17,16,9,29,26,18,15,49,31,20,30,17,15,20,13,33,32,9,12,38,41,23,16,20,5,10,5,19,38,36,38,49,31,22,21,40,50,32,50,34,36,11,19,2,14,5,2,0,0,2,0,2,0,1,1,0,0,1,1,2,1,3,0,4,12,0,0,1,0,0,1,0,0,0,19,0,0,42,43,155,0,0,5,8,16,7,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,11,0,2,0,0,0,0,0
ASV21,1,2,2,0,9,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,12,0,0,1,0,2,0,0,29,0,0,0,1,8,0,0,0,3,12,1,1,0,0,1,0,168,22,0,4,257,45,19,15,0,6,0,6,0,30,0,0,1,2,0,2,1,1,0,1,0,0,0,2,1,0,0,0,0,0,3,0,72,0,0,98,0,23,0,460,0,0,433,0,4,10,4,822,11,4,0,9,0,1,1,1,4,1,8,1,0,0,1,4,31,16,0
ASV22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,55,0,0,452,0,201,0,0,0,0,77,0,0,0,28,0,0,0,58,0,0,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,90,0,0,0,437,0,0,12,8,294,0,2,2,1,2,1,0,16,0,2,0,0,4,0,2,0
